target_role,category,difficulty,question_text,expected_points,sample_star_answer,is_active
Frontend Developer,Technical,hard,Apa yang dimaksud dengan Mismatch Hydration pada SSR (Next.js/Astro) dan bagaimana cara mendiagnosis serta memperbaikinya?,"{Penyebab: Perbedaan HTML Server vs DOM Client,Server-side vs Client-side evaluation (window/localStorage/Date),SuppressHydrationWarning vs useEffect mounting,Debugging console error}",Situation: Console prod dipenuhi error Hydration failed because initial UI does not match. Task: Menghilangkan error hydration. Action: Memindahkan akses localStorage dan Date.now() ke dalam useEffect setelah komponen dipastikan mounted di client. Result: Error hydration bersih total.,True
Frontend Developer,Performance,medium,Bagaimana langkah-langkah Anda mengoptimalkan performa aplikasi React yang mengalami re-render berlebihan dan bundle size membengkak?,"{React Profiler analysis,React.memo & useCallback/useMemo,Tree shaking & dynamic import,Bundle analyzer}","Situation: Ukuran JS bundle utama mencapai 4.5 MB. Task: Mengurangi bundle size & TTI. Action: Menganalisis via Bundle Analyzer, mengganti moment.js dengan dayjs, dan menerapkan code-splitting per route. Result: Ukuran bundle turun ke 800 KB dan TTI membaik 60%.",True
Frontend Developer,Performance,hard,"Bagaimana Anda meningkatkan nilai Core Web Vitals (LCP, INP, CLS) pada website e-commerce yang memiliki banyak gambar dan skrip pihak ketiga?","{LCP: Next/Image optimization & fetchpriority,INP: Yielding to main thread (requestIdleCallback/setTimeout),CLS: Reserved dimension ratios (width/height),Third-party script deferring}","Situation: Nilai Core Web Vitals merah di Search Console karena gambar banner besar dan script analytics. Task: Mencapai status Green Vitals. Action: Menggunakan format WebP/AVIF dengan srcset, menset fetchpriority=high untuk hero image, dan defer analytics script. Result: LCP turun dari 4.2s ke 1.8s dan INP < 150ms.",True
Frontend Developer,Performance,medium,Bagaimana Anda mengimplementasikan strategi Lazy Loading dan Dynamic Import untuk rute dan komponen berat?,"{React.lazy & Suspense,Dynamic import import(),Fallback skeleton loader,Intersection Observer untuk image/section}",Situation: Halaman Checkout mendownload modal heavy chart padahal jarang dibuka. Task: Memuat komponen hanya saat dibutuhkan. Action: Membungkus komponen Chart dengan React.lazy() dan Suspense fallback. Result: Initial page load berkurang 350 KB.,True
Frontend Developer,System Design,hard,Bagaimana Anda merancang arsitektur Micro-Frontend untuk aplikasi skala besar yang dikerjakan oleh beberapa tim terpisah?,"{Module Federation (Webpack 5 / Vite),Single-spa / Shell app pattern,Shared state & Event Bus,CSS Isolation,Independent Deployment Pipeline}",Situation: 5 tim frontend saling bertabrakan rilis karena monolit web app. Task: Memisah aplikasi menjadi modul independen. Action: Menggunakan Webpack Module Federation dengan shell app dan shared design system. Result: Tim dapat deploy modul secara independen tanpa bug regresi.,True
Frontend Developer,System Design,hard,"Bagaimana Anda merancang Design System dan Component Library yang terisolasi, re-usable, dan teruji untuk digunakan di seluruh tim organisasi?","{Atomic Design Methodology,Storybook for documentation,Tailwind / CSS Variables design tokens,Radix / Headless UI for accessibility,NPM Private Package / Monorepo release}",Situation: Setiap aplikasi internal perusahaan memiliki tampilan tombol dan modal yang konsisten. Task: Mengstandardisasi UI komponen. Action: Membangun Design System berbasis Tailwind & Radix UI di Monorepo dengan Storybook. Result: Kecepatan pengembangan UI baru meningkat 40%.,True
Frontend Developer,System Design,hard,Bagaimana Anda merancang arsitektur web app Offline-First menggunakan Service Workers dan IndexedDB?,"{Service Worker Caching (Stale-While-Revalidate/Cache First),IndexedDB storage via Dexie.js,Background Sync API,Conflict resolution on reconnect}",Situation: Aplikasi inspeksi lapangan sering digunakan di daerah tanpa sinyal internet. Task: Mendukung akses offline penuh. Action: Menerapkan Workbox Service Worker dan IndexedDB untuk menyimpan draf formulir lokal dengan sync otomatis saat online. Result: Pengguna dapat bekerja tanpa hambatan koneksi.,True
Frontend Developer,Security,medium,Bagaimana Anda mencegah serangan XSS (Cross-Site Scripting) dan CSRF pada aplikasi Web Single Page Application (SPA)?,"{Sanitasi HTML (DOMPurify),Hindari dangerouslySetInnerHTML,Content Security Policy (CSP) headers,SameSite Cookies vs Anti-CSRF Tokens}",Situation: Fitur komentar pengguna rentan disisipi skrip jahat. Task: Mengamankan UI dari XSS. Action: Menggunakan DOMPurify untuk mensanitasi input kaya teks dan memasang strict CSP header pada web server. Result: Aplikasi aman dari eksekusi script injeksi.,True
Frontend Developer,Security,medium,Di mana lokasi terbaik menyimpan Access Token dan Refresh Token di Frontend dari sudut pandang keamanan?,"{HttpOnly SameSite Cookie (Paling aman),In-Memory (JS variable) untuk Access Token,Bahaya localStorage/sessionStorage terhadap XSS,Silent refresh pattern}",Situation: Token JWT disimpan di localStorage sehingga rentan dibaca oleh script terinjeksi XSS. Task: Mengamankan mekanisme autentikasi. Action: Mengubah simpanan Refresh Token ke HttpOnly SameSite Cookie dan Access Token di in-memory state. Result: Kredensial pengguna terlindungi dari pencurian token.,True
Frontend Developer,Accessibility,easy,Mengapa Accessibility (a11y) penting dan bagaimana Anda memastikan komponen web dapat diakses navigasi keyboard dan Screen Reader?,"{Semantic HTML elements,ARIA attributes (aria-label, aria-expanded),Focus management & Focus rings,Screen reader testing (NVDA/VoiceOver)}",Situation: Modal custom tidak bisa ditutup dengan tombol ESC dan fokus keyboard jebol ke latar belakang. Task: Memperbaiki aksesibilitas modal. Action: Menerapkan Focus Trap dan mendengarkan event keydown ESC serta menambahkan aria-modal=true. Result: Modal lolos pengujian audit WCAG AA.,True
Frontend Developer,Behavioral,medium,Ceritakan pengalaman saat Anda berbeda pendapat dengan UI/UX Designer mengenai fungsionalitas komponen yang sulit diimplementasikan.,"{Empati terhadap pengguna & desainer,Analisis kepraktisan & trade-off teknis,Kompromi & alternatif prototype,Pengambilan keputusan berbasis data}",Situation: Desainer membuat efek animasi 3D kompleks di halaman checkout yang berisiko menurunkan performa HP low-end. Task: Mencapai kesepakatan terbaik. Action: Membuat 2 prototype cepat (efek 3D vs CSS micro-animation) dan menunjukkan dampak latency-nya. Result: Tim sepakat memakai micro-animation yang ringan dan estetik.,True
Frontend Developer,Behavioral,medium,Ceritakan insiden bug kritis yang terjadi di production Frontend dan bagaimana langkah penanganan Anda dari rilis hotfix hingga post-mortem.,"{Triage & isolasi masalah,Rollback vs Hotfix cepat,Komunikasi dengan tim & stakeholder,Post-mortem & penambahan regression test}","Situation: Tombol bayar tidak bisa diklik pada browser Safari setelah rilis malam. Task: Mengatasi bug kritis secepatnya. Action: Mengidentifikasi polyfill CSS gap pada Safari, merilis hotfix dalam 20 menit, dan menambahkan E2E test Playwright untuk Safari di CI/CD. Result: Kerugian transaksi berhasil diminimalisir.",True
Frontend Developer,Behavioral,medium,Bagaimana Anda meyakinkan Product Manager untuk memberikan alokasi waktu refactoring legacy frontend code yang sudah berantakan?,"{Menerjemahkan tech debt menjadi dampak bisnis (kecepatan rilis/bug rate),Menyajikan data metrics (Lighthouse/Build time),Refactoring bertahap (boy scout rule),Bukan rewrite total}",Situation: Kode codebase lama membuat waktu pengembangan fitur baru melambat 2 kali lipat. Task: Mendapatkan approval refactoring dari PM. Action: Menyajikan data bahwa 60% waktu sprint habis untuk bug-fixing akibat tech debt dan mengusulkan refactoring bertahap di tiap sprint (20%). Result: PM setuju dan kecepatan rilis meningkat 35%.,True
Frontend Developer,Behavioral,easy,Ceritakan pengalaman Anda membantu atau mentoring junior developer dalam memahami best practice modern Frontend.,"{Code Review bertahap dengan penjelasan alasan (the why),Pair programming,Dokumentasi & Guideline,Mendukung rasa percaya diri}",Situation: Junior dev sering mengalami kendala pemahaman async JavaScript dan state management. Task: Membantu meningkatkan keahlian junior dev. Action: Mengadakan sesi pair programming mingguan dan memberikan feedback code review yang konstruktif beserta link referensi. Result: Junior dev mampu menyelesaikan tugas mandiri tanpa blocker.,True
Frontend Developer,Behavioral,medium,Bagaimana Anda mengelola kualitas kode dan testing ketika dihadapkan pada tenggat waktu rilis fitur yang sangat ketat?,"{Fokus pada Critical Path testing (Unit test core logic & E2E checkout),Pragmatic trade-off (manual QA vs automated test),Linter & Automated formatting (ESLint/Prettier),Dokumentasi sisa debt}","Situation: Fitur promo baru harus rilis dalam 2 hari untuk campaign marketing. Task: Memastikan fitur rilis tepat waktu tanpa merusak fungsi kritis. Action: Menulis Unit Test khusus untuk kalkulasi diskon dan E2E test untuk alur checkout, sementara komponen UI dites manual. Result: Fitur rilis tepat waktu zero-critical bug.",True
