target_role,category,difficulty,question_text,expected_points,sample_star_answer,is_active
General,Behavioral,easy,Berikan contoh situasi di mana Anda harus bekerja sama dengan anggota tim yang memiliki kepribadian/gaya kerja yang berbeda.,"{Empati & toleransi gaya kerja,Komunikasi yang jelas,Menyesuaikan pendekatan kolaborasi,Saling melengkapi keahlian}",Situation: Bekerja dengan anggota tim senior yang sangat perfeksionis dan tertutup. Task: Membangun kolaborasi harmonis. Action: Rutin mengajukan pertanyaan terstruktur di sesi kaji kode dan meminta masukan dengan penuh respek. Result: Hubungan kerja menjadi sangat solid dan saling percaya.,True
General,Behavioral,medium,Ceritakan pengalaman saat perusahaan/proyek mengalami perubahan arah secara mendadak (pivoting) dan bagaimana Anda beradaptasi.,"{Sikap fleksibel & positif,Re-prioritisasi tugas,Mempelajari skill baru secepatnya,Menjaga fokus tim}",Situation: Arah produk berubah dari aplikasi desktop ke aplikasi berbasis web PWA. Task: Beradaptasi dengan teknologi baru. Action: Mengikuti kursus intensif PWA dalam 1 minggu dan merancang ulang arsitektur sistem. Result: Berhasil melakukan peluncuran PWA versi beta dalam 1 bulan.,True
General,Behavioral,medium,Ceritakan situasi ketika Anda mengambil inisiatif untuk memperbaiki suatu proses tanpa diminta oleh atasan.,"{Inisiatif pribadi (Proactivity),Identifikasi efisiensi proses,Eksekusi mandiri,Dampak peningkatan produktivitas}",Situation: Dokumentasi onboarding dev baru kurang lengkap dan memperlambat tim. Task: Meningkatkan efisiensi onboarding. Action: Secara mandiri mendokumentasikan setup environment dan membuat script setup otomatis. Result: Waktu onboarding dev baru terangkas dari 3 hari menjadi 3 jam.,True
General,Behavioral,medium,Bagaimana cara Anda memprioritaskan tugas saat Anda memiliki beberapa proyek dengan tenggat waktu yang bersamaan?,"{Eisenhower Matrix / RICE framework,Komunikasi tenggat waktu ke stakeholder,Delegasi / Negotiation scope,Fokus eksekusi}",Situation: Mendapat 3 permintaan fitur darurat dari tim marketing dan produk bersamaan. Task: Menentukan prioritas yang tepat. Action: Berdiskusi dengan manajer untuk mengevaluasi dampak bisnis dari masing-masing fitur dan membuat timeline rilis bertahap. Result: Semua proyek selesai tepat waktu sesuai ekspetasi.,True
General,Behavioral,easy,"Ceritakan pengalaman saat Anda menerima kritik atau umpan balik negatif, dan bagaimana Anda meresponnya.","{Menerima kritik secara profesional (tidak defensif),Evaluasi diri secara objektif,Tindakan perbaikan konkret,Follow-up hasil}",Situation: Menerima masukan dari tim QA bahwa kode saya kurang memiliki penanganan error boundary. Task: Memperbaiki kualitas kode. Action: Mengucapkan terima kasih atas masukkan tersebut dan segera menerapkan Error Boundary pada komponen utama. Result: Kuantitas crash log di Sentry berkurang 80%.,True
General,Behavioral,medium,Ceritakan pengalaman saat Anda harus memimpin suatu proyek atau membimbing rekan tim yang sedang kesulitan.,"{Empati & mendengar kendala,Memberikan arahan & panduan clear,Memfasilitasi blocker,Merayakan keberhasilan bersama}",Situation: Rekan tim junior kesulitan memahami integrasi sistem autentikasi OAuth. Task: Membantu hingga mandiri. Action: Mengadakan sesi pair programming 1 jam dan menyusun dokumentasi flowchart alur autentikasi. Result: Rekan tim berhasil menyelesaikan modul OAuth dan percaya diri.,True
General,Behavioral,medium,Bagaimana cara Anda menangani klien atau stakeholder yang menuntut hal-hal yang tidak realistis?,"{Mendengarkan kebutuhan inti,Menjelaskan keterbatasan teknis/waktu secara sopan,Menawarkan solusi alternatif realistis,Menjaga ekspektasi}","Situation: Klien meminta perubahan desain total 2 hari sebelum rilis. Task: Mengelola ekspektasi tanpa merusak hubungan. Action: Menjelaskan dampak risiko pada kualitas dan menawarkan rilis bertahap (fitur inti dulu, sisanya di fase 2). Result: Klien menerima dan puas dengan hasil rilis.",True
General,Behavioral,hard,Ceritakan keputusan tersulit yang pernah Anda buat di tempat kerja saat informasi yang dimiliki sangat terbatas.,"{Analisis risiko & skenario terbaik/terburuk,Menggunakan kalkulasi berbasis intuisi & data ada,Tanggung jawab penuh atas hasil,Evaluasi pasca keputusan}","Situation: Harus memilih library UI baru saat proyek baru mulai tanpa tahu kebutuhan lengkap masa depan. Task: Mengambil keputusan cepat. Action: Mengatur kriteria evaluasi (ukuran bundle, populasi komunitas, keaktifan maintenance) dan memilih Tailwind+Radix. Result: Arsitektur UI tetap relevan dan scalable hingga sekarang.",True
General,Behavioral,easy,Keterampilan baru apa yang Anda pelajari sendiri dalam 6 bulan terakhir dan bagaimana Anda menerapkannya?,"{Inisiatif belajar mandiri,Metode pembelajaran (buku/kursus/proyek),Penerapan praktis pada pekerjaan}",Situation: Ingin menguasai teknik performa web terkini. Task: Belajar mandiri mengenai Core Web Vitals. Action: Mengikuti dokumentasi web.dev dan mempraktikkannya pada side project. Result: Menerapkan optimasi LCP pada project kantor dan menaikkan score Lighthouse 30 poin.,True
General,Behavioral,easy,"Apa arti integritas dan etika kerja bagi Anda, serta bagaimana Anda menerapkannya sehari-hari?","{Kejujuran & transparansi,Konsistensi komitmen,Menjaga kerahasiaan data perusahaan,Tanggung jawab profesional}",Situation: Menghadapi situasi di mana ada celah untuk mengambil jalan pintas yang berisiko pada keamanan data. Task: Menjaga integritas. Action: Menolak jalan pintas tersebut dan melaporkan risiko keamanan kepada lead. Result: Keamanan data pengguna tetap terjaga 100%.,True
General,Behavioral,medium,Berikan contoh ketika Anda berusaha melebihi ekspektasi untuk memuaskan kebutuhan pelanggan atau pengguna.,"{Mengerti pain point pengguna,Memberikan nilai tambah ekstra,Perhatian terhadap detail UX,Dampak positif umpan balik}",Situation: Pengguna mengeluhkan kesulitan membaca teks saat mode gelap (dark mode). Task: Memperbaiki kenyamanan pengguna. Action: Mengubah kontras warna sesuai standar WCAG AA dan menambahkan tombol penyesuaian ukuran font. Result: Ulasan positif pengguna meningkat drastis.,True
General,Behavioral,medium,Bagaimana cara Anda menjelaskan konsep teknis/kompleks kepada rekan kerja non-teknis agar mudah dipahami?,"{Menggunakan analogi sederhana,Menghindari jargon teknis rumit,Fokus pada manfaat bisnis/pengguna,Menggunakan visual/diagram}","Situation: Menjelaskan alasan mengapa refactoring database penting kepada tim Marketing. Task: Menyampaikan tanpa jargon. Action: Menggunakan analogi ""merapikan gudang toko agar pelayan bisa mengambil barang lebih cepat"". Result: Tim Marketing paham dan menyetujui jadwal maintenance.",True
General,Behavioral,easy,Mengapa Anda memutuskan untuk mencari kesempatan baru atau meninggalkan posisi Anda yang sekarang?,"{Fokus pada pertumbuhan karir & tantangan baru,Apresiasi pada perusahaan lama (tidak menjelekkan),Relevansi tujuan dengan posisi baru}",Situation: Telah mencapai titik pembelajaran maksimal di posisi lama selama 2.5 tahun. Task: Mencari tempat tumbuh baru. Action: Mencari tantangan baru di perusahaan berteknologi tinggi yang memfasilitasi dampak skala lebih besar. Result: Siap memberikan kontribusi terbaik di posisi ini.,True
General,Behavioral,easy,Lingkungan kerja seperti apa yang membuat Anda dapat memberikan performa terbaik Anda?,"{Kultur kolaboratif & terbuka,Komunikasi transparan,Dukungan inovasi & eksplorasi,Keseimbangan kerja-hidup}","Situation: Berkembang di lingkungan kerja yang mengutamakan trust dan ownership. Task: Menilai kecocokan budaya. Action: Berkontribusi aktif pada lingkungan yang saling mensupport, mengapresiasi ide baru, dan memiliki feedback loop yang sehat. Result: Produktivitas dan hasil kerja maksimal.",True
General,General,easy,"Apakah ada pertanyaan yang ingin Anda ajukan kepada kami mengenai tim, peran, atau budaya perusahaan?","{Persiapan pertanyaan berbobot,Ketertarikan pada ekspektasi peranan,Antusiasme terhadap pertumbuhan tim}",Situation: Kesempatan bertanya di akhir sesi wawancara. Task: Menunjukkan ketertarikan mendalam. Action: Menanyakan mengenai indikator sukses 90 hari pertama di posisi ini dan tantangan terbesar yang sedang dihadapi tim saat ini. Result: Memberikan kesan akhir yang sangat profesional dan proaktif.,True
